"","Position","Enrichment","Type"
"1",-990,0.9807,"Inr-DPE"
"2",-980,0.972,"Inr-DPE"
"3",-970,0.9645,"Inr-DPE"
"4",-960,0.9531,"Inr-DPE"
"5",-950,0.9652,"Inr-DPE"
"6",-940,0.9528,"Inr-DPE"
"7",-930,0.9551,"Inr-DPE"
"8",-920,0.9576,"Inr-DPE"
"9",-910,0.9423,"Inr-DPE"
"10",-900,0.954,"Inr-DPE"
"11",-890,0.9642,"Inr-DPE"
"12",-880,0.975,"Inr-DPE"
"13",-870,0.945,"Inr-DPE"
"14",-860,0.9451,"Inr-DPE"
"15",-850,0.9505,"Inr-DPE"
"16",-840,0.9199,"Inr-DPE"
"17",-830,0.9471,"Inr-DPE"
"18",-820,0.9211,"Inr-DPE"
"19",-810,0.9391,"Inr-DPE"
"20",-800,0.9167,"Inr-DPE"
"21",-790,0.9234,"Inr-DPE"
"22",-780,0.9528,"Inr-DPE"
"23",-770,0.9275,"Inr-DPE"
"24",-760,0.9439,"Inr-DPE"
"25",-750,0.9377,"Inr-DPE"
"26",-740,0.9268,"Inr-DPE"
"27",-730,0.9067,"Inr-DPE"
"28",-720,0.9126,"Inr-DPE"
"29",-710,0.9245,"Inr-DPE"
"30",-700,0.9063,"Inr-DPE"
"31",-690,0.9003,"Inr-DPE"
"32",-680,0.9131,"Inr-DPE"
"33",-670,0.8932,"Inr-DPE"
"34",-660,0.8804,"Inr-DPE"
"35",-650,0.8713,"Inr-DPE"
"36",-640,0.8791,"Inr-DPE"
"37",-630,0.867,"Inr-DPE"
"38",-620,0.8697,"Inr-DPE"
"39",-610,0.864,"Inr-DPE"
"40",-600,0.8608,"Inr-DPE"
"41",-590,0.8531,"Inr-DPE"
"42",-580,0.8693,"Inr-DPE"
"43",-570,0.8704,"Inr-DPE"
"44",-560,0.8448,"Inr-DPE"
"45",-550,0.8556,"Inr-DPE"
"46",-540,0.8298,"Inr-DPE"
"47",-530,0.8192,"Inr-DPE"
"48",-520,0.8373,"Inr-DPE"
"49",-510,0.8249,"Inr-DPE"
"50",-500,0.8128,"Inr-DPE"
"51",-490,0.806,"Inr-DPE"
"52",-480,0.8053,"Inr-DPE"
"53",-470,0.8092,"Inr-DPE"
"54",-460,0.788,"Inr-DPE"
"55",-450,0.8236,"Inr-DPE"
"56",-440,0.8106,"Inr-DPE"
"57",-430,0.7911,"Inr-DPE"
"58",-420,0.7845,"Inr-DPE"
"59",-410,0.7875,"Inr-DPE"
"60",-400,0.7891,"Inr-DPE"
"61",-390,0.7816,"Inr-DPE"
"62",-380,0.7927,"Inr-DPE"
"63",-370,0.775,"Inr-DPE"
"64",-360,0.7875,"Inr-DPE"
"65",-350,0.7738,"Inr-DPE"
"66",-340,0.7669,"Inr-DPE"
"67",-330,0.7686,"Inr-DPE"
"68",-320,0.7451,"Inr-DPE"
"69",-310,0.7366,"Inr-DPE"
"70",-300,0.7592,"Inr-DPE"
"71",-290,0.7377,"Inr-DPE"
"72",-280,0.7325,"Inr-DPE"
"73",-270,0.7403,"Inr-DPE"
"74",-260,0.7403,"Inr-DPE"
"75",-250,0.7521,"Inr-DPE"
"76",-240,0.7411,"Inr-DPE"
"77",-230,0.7352,"Inr-DPE"
"78",-220,0.7544,"Inr-DPE"
"79",-210,0.738,"Inr-DPE"
"80",-200,0.7423,"Inr-DPE"
"81",-190,0.7073,"Inr-DPE"
"82",-180,0.7323,"Inr-DPE"
"83",-170,0.7254,"Inr-DPE"
"84",-160,0.7373,"Inr-DPE"
"85",-150,0.7407,"Inr-DPE"
"86",-140,0.7656,"Inr-DPE"
"87",-130,0.7889,"Inr-DPE"
"88",-120,0.8161,"Inr-DPE"
"89",-110,0.8515,"Inr-DPE"
"90",-100,0.8386,"Inr-DPE"
"91",-90,0.8562,"Inr-DPE"
"92",-80,0.8386,"Inr-DPE"
"93",-70,0.8243,"Inr-DPE"
"94",-60,0.8284,"Inr-DPE"
"95",-50,0.8192,"Inr-DPE"
"96",-40,0.8795,"Inr-DPE"
"97",-30,0.9656,"Inr-DPE"
"98",-20,1.006,"Inr-DPE"
"99",-10,1.023,"Inr-DPE"
"100",0,0.9935,"Inr-DPE"
"101",10,0.9773,"Inr-DPE"
"102",20,0.966,"Inr-DPE"
"103",30,0.9604,"Inr-DPE"
"104",40,1.024,"Inr-DPE"
"105",50,1.011,"Inr-DPE"
"106",60,1.081,"Inr-DPE"
"107",70,1.058,"Inr-DPE"
"108",80,1.055,"Inr-DPE"
"109",90,0.9869,"Inr-DPE"
"110",100,0.9781,"Inr-DPE"
"111",110,1.024,"Inr-DPE"
"112",120,1.082,"Inr-DPE"
"113",130,1.104,"Inr-DPE"
"114",140,1.14,"Inr-DPE"
"115",150,1.107,"Inr-DPE"
"116",160,1.073,"Inr-DPE"
"117",170,1.038,"Inr-DPE"
"118",180,1.047,"Inr-DPE"
"119",190,1.025,"Inr-DPE"
"120",200,1.023,"Inr-DPE"
"121",210,1.015,"Inr-DPE"
