"","Position","Enrichment","Type"
"1",-990,0.02327,"Inr-DPE"
"2",-980,0.02626,"Inr-DPE"
"3",-970,0.0228,"Inr-DPE"
"4",-960,0.03019,"Inr-DPE"
"5",-950,0.025,"Inr-DPE"
"6",-940,0.025,"Inr-DPE"
"7",-930,0.025,"Inr-DPE"
"8",-920,0.02657,"Inr-DPE"
"9",-910,0.02673,"Inr-DPE"
"10",-900,0.02406,"Inr-DPE"
"11",-890,0.02673,"Inr-DPE"
"12",-880,0.01887,"Inr-DPE"
"13",-870,0.02374,"Inr-DPE"
"14",-860,0.02091,"Inr-DPE"
"15",-850,0.02783,"Inr-DPE"
"16",-840,0.02358,"Inr-DPE"
"17",-830,0.02673,"Inr-DPE"
"18",-820,0.0283,"Inr-DPE"
"19",-810,0.02704,"Inr-DPE"
"20",-800,0.02374,"Inr-DPE"
"21",-790,0.02516,"Inr-DPE"
"22",-780,0.02358,"Inr-DPE"
"23",-770,0.02343,"Inr-DPE"
"24",-760,0.02516,"Inr-DPE"
"25",-750,0.02248,"Inr-DPE"
"26",-740,0.02783,"Inr-DPE"
"27",-730,0.02673,"Inr-DPE"
"28",-720,0.02594,"Inr-DPE"
"29",-710,0.02594,"Inr-DPE"
"30",-700,0.025,"Inr-DPE"
"31",-690,0.02516,"Inr-DPE"
"32",-680,0.02752,"Inr-DPE"
"33",-670,0.02343,"Inr-DPE"
"34",-660,0.02201,"Inr-DPE"
"35",-650,0.02437,"Inr-DPE"
"36",-640,0.0228,"Inr-DPE"
"37",-630,0.01934,"Inr-DPE"
"38",-620,0.02594,"Inr-DPE"
"39",-610,0.02563,"Inr-DPE"
"40",-600,0.02956,"Inr-DPE"
"41",-590,0.02484,"Inr-DPE"
"42",-580,0.0228,"Inr-DPE"
"43",-570,0.01997,"Inr-DPE"
"44",-560,0.01918,"Inr-DPE"
"45",-550,0.02248,"Inr-DPE"
"46",-540,0.0217,"Inr-DPE"
"47",-530,0.02075,"Inr-DPE"
"48",-520,0.02107,"Inr-DPE"
"49",-510,0.02248,"Inr-DPE"
"50",-500,0.0239,"Inr-DPE"
"51",-490,0.0228,"Inr-DPE"
"52",-480,0.02091,"Inr-DPE"
"53",-470,0.025,"Inr-DPE"
"54",-460,0.02154,"Inr-DPE"
"55",-450,0.02248,"Inr-DPE"
"56",-440,0.02437,"Inr-DPE"
"57",-430,0.02358,"Inr-DPE"
"58",-420,0.02343,"Inr-DPE"
"59",-410,0.02075,"Inr-DPE"
"60",-400,0.02421,"Inr-DPE"
"61",-390,0.0239,"Inr-DPE"
"62",-380,0.02469,"Inr-DPE"
"63",-370,0.01792,"Inr-DPE"
"64",-360,0.02233,"Inr-DPE"
"65",-350,0.02343,"Inr-DPE"
"66",-340,0.02091,"Inr-DPE"
"67",-330,0.0206,"Inr-DPE"
"68",-320,0.02233,"Inr-DPE"
"69",-310,0.02107,"Inr-DPE"
"70",-300,0.02044,"Inr-DPE"
"71",-290,0.01981,"Inr-DPE"
"72",-280,0.02437,"Inr-DPE"
"73",-270,0.01934,"Inr-DPE"
"74",-260,0.02296,"Inr-DPE"
"75",-250,0.02123,"Inr-DPE"
"76",-240,0.01981,"Inr-DPE"
"77",-230,0.01934,"Inr-DPE"
"78",-220,0.0195,"Inr-DPE"
"79",-210,0.02248,"Inr-DPE"
"80",-200,0.02374,"Inr-DPE"
"81",-190,0.02374,"Inr-DPE"
"82",-180,0.02107,"Inr-DPE"
"83",-170,0.01855,"Inr-DPE"
"84",-160,0.01824,"Inr-DPE"
"85",-150,0.0173,"Inr-DPE"
"86",-140,0.01981,"Inr-DPE"
"87",-130,0.0173,"Inr-DPE"
"88",-120,0.01619,"Inr-DPE"
"89",-110,0.01887,"Inr-DPE"
"90",-100,0.01777,"Inr-DPE"
"91",-90,0.01509,"Inr-DPE"
"92",-80,0.02044,"Inr-DPE"
"93",-70,0.01871,"Inr-DPE"
"94",-60,0.01572,"Inr-DPE"
"95",-50,0.01698,"Inr-DPE"
"96",-40,0.01619,"Inr-DPE"
"97",-30,0.01887,"Inr-DPE"
"98",-20,0.01855,"Inr-DPE"
"99",-10,0.01667,"Inr-DPE"
"100",0,0.01698,"Inr-DPE"
"101",10,0.01887,"Inr-DPE"
"102",20,0.01887,"Inr-DPE"
"103",30,0.01887,"Inr-DPE"
"104",40,0.01682,"Inr-DPE"
"105",50,0.02123,"Inr-DPE"
"106",60,0.01808,"Inr-DPE"
"107",70,0.02154,"Inr-DPE"
"108",80,0.02689,"Inr-DPE"
"109",90,0.02154,"Inr-DPE"
"110",100,0.02736,"Inr-DPE"
"111",110,0.02469,"Inr-DPE"
"112",120,0.02547,"Inr-DPE"
"113",130,0.0261,"Inr-DPE"
"114",140,0.02343,"Inr-DPE"
"115",150,0.02123,"Inr-DPE"
"116",160,0.01808,"Inr-DPE"
"117",170,0.01918,"Inr-DPE"
"118",180,0.01903,"Inr-DPE"
"119",190,0.01714,"Inr-DPE"
"120",200,0.01226,"Inr-DPE"
"121",210,0.01667,"Inr-DPE"
"122",220,0.01808,"Inr-DPE"
"123",230,0.01682,"Inr-DPE"
"124",240,0.01698,"Inr-DPE"
"125",250,0.01903,"Inr-DPE"
"126",260,0.0184,"Inr-DPE"
"127",270,0.02248,"Inr-DPE"
"128",280,0.02469,"Inr-DPE"
"129",290,0.02343,"Inr-DPE"
"130",300,0.02138,"Inr-DPE"
"131",310,0.02248,"Inr-DPE"
"132",320,0.02358,"Inr-DPE"
"133",330,0.02138,"Inr-DPE"
"134",340,0.02075,"Inr-DPE"
"135",350,0.0195,"Inr-DPE"
"136",360,0.0173,"Inr-DPE"
"137",370,0.01714,"Inr-DPE"
"138",380,0.02044,"Inr-DPE"
"139",390,0.02028,"Inr-DPE"
"140",400,0.0195,"Inr-DPE"
"141",410,0.02123,"Inr-DPE"
"142",420,0.01981,"Inr-DPE"
"143",430,0.02406,"Inr-DPE"
"144",440,0.01887,"Inr-DPE"
"145",450,0.02013,"Inr-DPE"
"146",460,0.02233,"Inr-DPE"
"147",470,0.02516,"Inr-DPE"
"148",480,0.02217,"Inr-DPE"
"149",490,0.02296,"Inr-DPE"
"150",500,0.02767,"Inr-DPE"
"151",510,0.02107,"Inr-DPE"
"152",520,0.02075,"Inr-DPE"
"153",530,0.01918,"Inr-DPE"
"154",540,0.02311,"Inr-DPE"
"155",550,0.01871,"Inr-DPE"
"156",560,0.02044,"Inr-DPE"
"157",570,0.02233,"Inr-DPE"
"158",580,0.02343,"Inr-DPE"
"159",590,0.02028,"Inr-DPE"
"160",600,0.02626,"Inr-DPE"
"161",610,0.02233,"Inr-DPE"
"162",620,0.02075,"Inr-DPE"
"163",630,0.02028,"Inr-DPE"
"164",640,0.02358,"Inr-DPE"
"165",650,0.02217,"Inr-DPE"
"166",660,0.0239,"Inr-DPE"
"167",670,0.02657,"Inr-DPE"
"168",680,0.02107,"Inr-DPE"
"169",690,0.02107,"Inr-DPE"
"170",700,0.02138,"Inr-DPE"
"171",710,0.02594,"Inr-DPE"
"172",720,0.02091,"Inr-DPE"
"173",730,0.02327,"Inr-DPE"
"174",740,0.02123,"Inr-DPE"
"175",750,0.0261,"Inr-DPE"
"176",760,0.02594,"Inr-DPE"
"177",770,0.02406,"Inr-DPE"
"178",780,0.02374,"Inr-DPE"
"179",790,0.02311,"Inr-DPE"
"180",800,0.02925,"Inr-DPE"
"181",810,0.02343,"Inr-DPE"
"182",820,0.02374,"Inr-DPE"
"183",830,0.02296,"Inr-DPE"
"184",840,0.02327,"Inr-DPE"
"185",850,0.02091,"Inr-DPE"
"186",860,0.02531,"Inr-DPE"
"187",870,0.02531,"Inr-DPE"
"188",880,0.0239,"Inr-DPE"
"189",890,0.02657,"Inr-DPE"
"190",900,0.02909,"Inr-DPE"
"191",910,0.02579,"Inr-DPE"
"192",920,0.02327,"Inr-DPE"
"193",930,0.02736,"Inr-DPE"
"194",940,0.02484,"Inr-DPE"
"195",950,0.02752,"Inr-DPE"
"196",960,0.02704,"Inr-DPE"
"197",970,0.02814,"Inr-DPE"
"198",980,0.02626,"Inr-DPE"
"199",990,0.02642,"Inr-DPE"
"200",-990,0.02695,"TATA-box"
"201",-980,0.02658,"TATA-box"
"202",-970,0.0261,"TATA-box"
"203",-960,0.02631,"TATA-box"
"204",-950,0.0257,"TATA-box"
"205",-940,0.02617,"TATA-box"
"206",-930,0.02726,"TATA-box"
"207",-920,0.02549,"TATA-box"
"208",-910,0.02478,"TATA-box"
"209",-900,0.02763,"TATA-box"
"210",-890,0.02505,"TATA-box"
"211",-880,0.02648,"TATA-box"
"212",-870,0.02648,"TATA-box"
"213",-860,0.026,"TATA-box"
"214",-850,0.02733,"TATA-box"
"215",-840,0.02766,"TATA-box"
"216",-830,0.02556,"TATA-box"
"217",-820,0.02631,"TATA-box"
"218",-810,0.02563,"TATA-box"
"219",-800,0.02658,"TATA-box"
"220",-790,0.02651,"TATA-box"
"221",-780,0.02525,"TATA-box"
"222",-770,0.02621,"TATA-box"
"223",-760,0.02631,"TATA-box"
"224",-750,0.02692,"TATA-box"
"225",-740,0.02685,"TATA-box"
"226",-730,0.02624,"TATA-box"
"227",-720,0.02702,"TATA-box"
"228",-710,0.02841,"TATA-box"
"229",-700,0.02665,"TATA-box"
"230",-690,0.02705,"TATA-box"
"231",-680,0.02512,"TATA-box"
"232",-670,0.02536,"TATA-box"
"233",-660,0.02719,"TATA-box"
"234",-650,0.02753,"TATA-box"
"235",-640,0.02508,"TATA-box"
"236",-630,0.02743,"TATA-box"
"237",-620,0.02634,"TATA-box"
"238",-610,0.02607,"TATA-box"
"239",-600,0.02495,"TATA-box"
"240",-590,0.02604,"TATA-box"
"241",-580,0.02502,"TATA-box"
"242",-570,0.02522,"TATA-box"
"243",-560,0.02492,"TATA-box"
"244",-550,0.02485,"TATA-box"
"245",-540,0.0261,"TATA-box"
"246",-530,0.02542,"TATA-box"
"247",-520,0.02573,"TATA-box"
"248",-510,0.02644,"TATA-box"
"249",-500,0.02556,"TATA-box"
"250",-490,0.0257,"TATA-box"
"251",-480,0.02746,"TATA-box"
"252",-470,0.02498,"TATA-box"
"253",-460,0.02481,"TATA-box"
"254",-450,0.02481,"TATA-box"
"255",-440,0.02617,"TATA-box"
"256",-430,0.02749,"TATA-box"
"257",-420,0.02502,"TATA-box"
"258",-410,0.0259,"TATA-box"
"259",-400,0.02386,"TATA-box"
"260",-390,0.02692,"TATA-box"
"261",-380,0.02566,"TATA-box"
"262",-370,0.02295,"TATA-box"
"263",-360,0.02447,"TATA-box"
"264",-350,0.02393,"TATA-box"
"265",-340,0.02525,"TATA-box"
"266",-330,0.02478,"TATA-box"
"267",-320,0.02379,"TATA-box"
"268",-310,0.02441,"TATA-box"
"269",-300,0.02566,"TATA-box"
"270",-290,0.02505,"TATA-box"
"271",-280,0.02458,"TATA-box"
"272",-270,0.02346,"TATA-box"
"273",-260,0.02481,"TATA-box"
"274",-250,0.02519,"TATA-box"
"275",-240,0.0261,"TATA-box"
"276",-230,0.02427,"TATA-box"
"277",-220,0.024,"TATA-box"
"278",-210,0.02376,"TATA-box"
"279",-200,0.02475,"TATA-box"
"280",-190,0.02376,"TATA-box"
"281",-180,0.02183,"TATA-box"
"282",-170,0.02441,"TATA-box"
"283",-160,0.02312,"TATA-box"
"284",-150,0.02305,"TATA-box"
"285",-140,0.02186,"TATA-box"
"286",-130,0.02206,"TATA-box"
"287",-120,0.02244,"TATA-box"
"288",-110,0.02142,"TATA-box"
"289",-100,0.02179,"TATA-box"
"290",-90,0.02206,"TATA-box"
"291",-80,0.02695,"TATA-box"
"292",-70,0.01707,"TATA-box"
"293",-60,0.01802,"TATA-box"
"294",-50,0.02081,"TATA-box"
"295",-40,0.02125,"TATA-box"
"296",-30,0.01931,"TATA-box"
"297",-20,0.01989,"TATA-box"
"298",-10,0.02329,"TATA-box"
"299",0,0.02023,"TATA-box"
"300",10,0.0224,"TATA-box"
"301",20,0.02108,"TATA-box"
"302",30,0.02023,"TATA-box"
"303",40,0.02135,"TATA-box"
"304",50,0.02138,"TATA-box"
"305",60,0.01972,"TATA-box"
"306",70,0.01874,"TATA-box"
"307",80,0.03683,"TATA-box"
"308",90,0.02889,"TATA-box"
"309",100,0.02695,"TATA-box"
"310",110,0.02872,"TATA-box"
"311",120,0.02814,"TATA-box"
"312",130,0.02749,"TATA-box"
"313",140,0.02804,"TATA-box"
"314",150,0.02773,"TATA-box"
"315",160,0.02614,"TATA-box"
"316",170,0.02641,"TATA-box"
"317",180,0.024,"TATA-box"
"318",190,0.02251,"TATA-box"
"319",200,0.02308,"TATA-box"
"320",210,0.02342,"TATA-box"
"321",220,0.02159,"TATA-box"
"322",230,0.0222,"TATA-box"
"323",240,0.02159,"TATA-box"
"324",250,0.02223,"TATA-box"
"325",260,0.02342,"TATA-box"
"326",270,0.02247,"TATA-box"
"327",280,0.02298,"TATA-box"
"328",290,0.02407,"TATA-box"
"329",300,0.02396,"TATA-box"
"330",310,0.02407,"TATA-box"
"331",320,0.02356,"TATA-box"
"332",330,0.02559,"TATA-box"
"333",340,0.0257,"TATA-box"
"334",350,0.02502,"TATA-box"
"335",360,0.02471,"TATA-box"
"336",370,0.02189,"TATA-box"
"337",380,0.02118,"TATA-box"
"338",390,0.02441,"TATA-box"
"339",400,0.0242,"TATA-box"
"340",410,0.02318,"TATA-box"
"341",420,0.0221,"TATA-box"
"342",430,0.02329,"TATA-box"
"343",440,0.02322,"TATA-box"
"344",450,0.02444,"TATA-box"
"345",460,0.02332,"TATA-box"
"346",470,0.02342,"TATA-box"
"347",480,0.02308,"TATA-box"
"348",490,0.0239,"TATA-box"
"349",500,0.02651,"TATA-box"
"350",510,0.02576,"TATA-box"
"351",520,0.02437,"TATA-box"
"352",530,0.02322,"TATA-box"
"353",540,0.02563,"TATA-box"
"354",550,0.02529,"TATA-box"
"355",560,0.02617,"TATA-box"
"356",570,0.02434,"TATA-box"
"357",580,0.02566,"TATA-box"
"358",590,0.02498,"TATA-box"
"359",600,0.02539,"TATA-box"
"360",610,0.02542,"TATA-box"
"361",620,0.02508,"TATA-box"
"362",630,0.02471,"TATA-box"
"363",640,0.02651,"TATA-box"
"364",650,0.02468,"TATA-box"
"365",660,0.02363,"TATA-box"
"366",670,0.02379,"TATA-box"
"367",680,0.02407,"TATA-box"
"368",690,0.02454,"TATA-box"
"369",700,0.02559,"TATA-box"
"370",710,0.02536,"TATA-box"
"371",720,0.02434,"TATA-box"
"372",730,0.02502,"TATA-box"
"373",740,0.02553,"TATA-box"
"374",750,0.02451,"TATA-box"
"375",760,0.02553,"TATA-box"
"376",770,0.02485,"TATA-box"
"377",780,0.02379,"TATA-box"
"378",790,0.02614,"TATA-box"
"379",800,0.0243,"TATA-box"
"380",810,0.02549,"TATA-box"
"381",820,0.02505,"TATA-box"
"382",830,0.026,"TATA-box"
"383",840,0.02413,"TATA-box"
"384",850,0.02464,"TATA-box"
"385",860,0.02532,"TATA-box"
"386",870,0.02519,"TATA-box"
"387",880,0.02505,"TATA-box"
"388",890,0.02621,"TATA-box"
"389",900,0.02587,"TATA-box"
"390",910,0.02665,"TATA-box"
"391",920,0.02573,"TATA-box"
"392",930,0.02726,"TATA-box"
"393",940,0.02644,"TATA-box"
"394",950,0.02441,"TATA-box"
"395",960,0.02478,"TATA-box"
"396",970,0.02464,"TATA-box"
"397",980,0.02573,"TATA-box"
"398",990,0.02587,"TATA-box"
"399",-990,0.0249,"Inr"
"400",-980,0.0251,"Inr"
"401",-970,0.02532,"Inr"
"402",-960,0.02522,"Inr"
"403",-950,0.0248,"Inr"
"404",-940,0.02535,"Inr"
"405",-930,0.02543,"Inr"
"406",-920,0.02509,"Inr"
"407",-910,0.0247,"Inr"
"408",-900,0.02538,"Inr"
