"","Position","Enrichment","Type"
"1",-100,8.475,"Inr-DPE"
"2",-99,9.55,"Inr-DPE"
"3",-98,8.525,"Inr-DPE"
"4",-97,7.708,"Inr-DPE"
"5",-96,8.635,"Inr-DPE"
"6",-95,8.244,"Inr-DPE"
"7",-94,7.981,"Inr-DPE"
"8",-93,8.755,"Inr-DPE"
"9",-92,9.577,"Inr-DPE"
"10",-91,9.527,"Inr-DPE"
"11",-90,7.973,"Inr-DPE"
"12",-89,8.756,"Inr-DPE"
"13",-88,8.153,"Inr-DPE"
"14",-87,9.789,"Inr-DPE"
"15",-86,10.2,"Inr-DPE"
"16",-85,9.072,"Inr-DPE"
"17",-84,11.46,"Inr-DPE"
"18",-83,10.66,"Inr-DPE"
"19",-82,10.08,"Inr-DPE"
"20",-81,9.588,"Inr-DPE"
"21",-80,9.473,"Inr-DPE"
"22",-79,9.822,"Inr-DPE"
"23",-78,11.66,"Inr-DPE"
"24",-77,9.385,"Inr-DPE"
"25",-76,11.38,"Inr-DPE"
"26",-75,11.61,"Inr-DPE"
"27",-74,12.74,"Inr-DPE"
"28",-73,11.06,"Inr-DPE"
"29",-72,12.46,"Inr-DPE"
"30",-71,8.858,"Inr-DPE"
"31",-70,10.42,"Inr-DPE"
"32",-69,13.37,"Inr-DPE"
"33",-68,8.469,"Inr-DPE"
"34",-67,9.777,"Inr-DPE"
"35",-66,13.33,"Inr-DPE"
"36",-65,13.13,"Inr-DPE"
"37",-64,12.74,"Inr-DPE"
"38",-63,13.81,"Inr-DPE"
"39",-62,14.51,"Inr-DPE"
"40",-61,11.28,"Inr-DPE"
"41",-60,14.12,"Inr-DPE"
"42",-59,13.34,"Inr-DPE"
"43",-58,14.54,"Inr-DPE"
"44",-57,16.11,"Inr-DPE"
"45",-56,15.2,"Inr-DPE"
"46",-55,16,"Inr-DPE"
"47",-54,17.1,"Inr-DPE"
"48",-53,15.7,"Inr-DPE"
"49",-52,15.62,"Inr-DPE"
"50",-51,21.21,"Inr-DPE"
"51",-50,18.47,"Inr-DPE"
"52",-49,18.39,"Inr-DPE"
"53",-48,20.5,"Inr-DPE"
"54",-47,21.36,"Inr-DPE"
"55",-46,22.87,"Inr-DPE"
"56",-45,24.81,"Inr-DPE"
"57",-44,24.33,"Inr-DPE"
"58",-43,26.33,"Inr-DPE"
"59",-42,27.19,"Inr-DPE"
"60",-41,30.44,"Inr-DPE"
"61",-40,33.26,"Inr-DPE"
"62",-39,27.81,"Inr-DPE"
"63",-38,28.14,"Inr-DPE"
"64",-37,28.29,"Inr-DPE"
"65",-36,27.41,"Inr-DPE"
"66",-35,29.2,"Inr-DPE"
"67",-34,26.41,"Inr-DPE"
"68",-33,36.32,"Inr-DPE"
"69",-32,32.23,"Inr-DPE"
"70",-31,32.13,"Inr-DPE"
"71",-30,31.42,"Inr-DPE"
"72",-29,32.03,"Inr-DPE"
"73",-28,40.27,"Inr-DPE"
"74",-27,38.65,"Inr-DPE"
"75",-26,37.17,"Inr-DPE"
"76",-25,36.5,"Inr-DPE"
"77",-24,39.48,"Inr-DPE"
"78",-23,42.31,"Inr-DPE"
"79",-22,45.01,"Inr-DPE"
"80",-21,45.81,"Inr-DPE"
"81",-20,42.55,"Inr-DPE"
"82",-19,48.67,"Inr-DPE"
"83",-18,49.54,"Inr-DPE"
"84",-17,50.99,"Inr-DPE"
"85",-16,49,"Inr-DPE"
"86",-15,49.21,"Inr-DPE"
"87",-14,54.63,"Inr-DPE"
"88",-13,52.56,"Inr-DPE"
"89",-12,62.58,"Inr-DPE"
"90",-11,63.31,"Inr-DPE"
"91",-10,63.82,"Inr-DPE"
"92",-9,72.82,"Inr-DPE"
"93",-8,72.5,"Inr-DPE"
"94",-7,85.25,"Inr-DPE"
"95",-6,105.5,"Inr-DPE"
"96",-5,121.9,"Inr-DPE"
"97",-4,155.7,"Inr-DPE"
"98",-3,186.3,"Inr-DPE"
"99",-2,231,"Inr-DPE"
"100",-1,282.8,"Inr-DPE"
"101",0,546.2,"Inr-DPE"
"102",1,279.8,"Inr-DPE"
"103",2,157.5,"Inr-DPE"
"104",3,149,"Inr-DPE"
"105",4,130.5,"Inr-DPE"
"106",5,100.5,"Inr-DPE"
"107",6,82.71,"Inr-DPE"
"108",7,74.87,"Inr-DPE"
"109",8,67,"Inr-DPE"
"110",9,59.7,"Inr-DPE"
"111",10,55.31,"Inr-DPE"
"112",11,61.41,"Inr-DPE"
"113",12,49.9,"Inr-DPE"
"114",13,42.39,"Inr-DPE"
"115",14,45.41,"Inr-DPE"
"116",15,56.63,"Inr-DPE"
"117",16,43.47,"Inr-DPE"
"118",17,43.27,"Inr-DPE"
"119",18,50.32,"Inr-DPE"
"120",19,35.15,"Inr-DPE"
"121",20,41.96,"Inr-DPE"
"122",21,40.08,"Inr-DPE"
"123",22,35.53,"Inr-DPE"
"124",23,35.11,"Inr-DPE"
"125",24,34.57,"Inr-DPE"
"126",25,32.85,"Inr-DPE"
"127",26,31.36,"Inr-DPE"
"128",27,44.81,"Inr-DPE"
"129",28,28.07,"Inr-DPE"
"130",29,25.51,"Inr-DPE"
"131",30,30.08,"Inr-DPE"
"132",31,23.35,"Inr-DPE"
"133",32,22.49,"Inr-DPE"
"134",33,26.42,"Inr-DPE"
"135",34,29.55,"Inr-DPE"
"136",35,23.2,"Inr-DPE"
"137",36,23.39,"Inr-DPE"
"138",37,21.03,"Inr-DPE"
"139",38,20.9,"Inr-DPE"
"140",39,20.49,"Inr-DPE"
"141",40,19.53,"Inr-DPE"
"142",41,21.39,"Inr-DPE"
"143",42,20.89,"Inr-DPE"
"144",43,22.92,"Inr-DPE"
"145",44,17.28,"Inr-DPE"
"146",45,16.45,"Inr-DPE"
"147",46,17.09,"Inr-DPE"
"148",47,13.87,"Inr-DPE"
"149",48,14.14,"Inr-DPE"
"150",49,16.09,"Inr-DPE"
"151",50,20.94,"Inr-DPE"
"152",51,16.51,"Inr-DPE"
"153",52,14.95,"Inr-DPE"
"154",53,13.14,"Inr-DPE"
"155",54,12.8,"Inr-DPE"
"156",55,13.56,"Inr-DPE"
"157",56,9.332,"Inr-DPE"
"158",57,10.09,"Inr-DPE"
"159",58,11.34,"Inr-DPE"
"160",59,9.715,"Inr-DPE"
"161",60,9.942,"Inr-DPE"
"162",61,8.868,"Inr-DPE"
"163",62,8.836,"Inr-DPE"
"164",63,8.432,"Inr-DPE"
"165",64,9.48,"Inr-DPE"
"166",65,7.314,"Inr-DPE"
"167",66,8.992,"Inr-DPE"
"168",67,10.25,"Inr-DPE"
"169",68,7.657,"Inr-DPE"
"170",69,9.392,"Inr-DPE"
"171",70,8.351,"Inr-DPE"
"172",71,9.206,"Inr-DPE"
"173",72,7.593,"Inr-DPE"
"174",73,6.355,"Inr-DPE"
"175",74,8.47,"Inr-DPE"
"176",75,6.506,"Inr-DPE"
"177",76,7.717,"Inr-DPE"
"178",77,5.898,"Inr-DPE"
"179",78,7.107,"Inr-DPE"
"180",79,7.792,"Inr-DPE"
"181",80,8.105,"Inr-DPE"
"182",81,8.668,"Inr-DPE"
"183",82,7.343,"Inr-DPE"
"184",83,8.03,"Inr-DPE"
"185",84,8.619,"Inr-DPE"
"186",85,9.088,"Inr-DPE"
"187",86,9.017,"Inr-DPE"
"188",87,8.311,"Inr-DPE"
"189",88,6.373,"Inr-DPE"
"190",89,7.904,"Inr-DPE"
"191",90,7.932,"Inr-DPE"
"192",91,6.858,"Inr-DPE"
"193",92,7.027,"Inr-DPE"
"194",93,6.434,"Inr-DPE"
"195",94,7.42,"Inr-DPE"
"196",95,7.112,"Inr-DPE"
