"","Position","Frequency","Type"
"1",-43.5,12.1600504,"Inr-DPE"
"2",-42.5,12.6602068,"Inr-DPE"
"3",-41.5,13.0196943,"Inr-DPE"
"4",-40.5,13.5198507,"Inr-DPE"
"5",-39.5,13.9574871,"Inr-DPE"
"6",-38.5,14.5670519,"Inr-DPE"
"7",-37.5,14.4420128,"Inr-DPE"
"8",-36.5,12.5976858,"Inr-DPE"
"9",-35.5,10.1906843,"Inr-DPE"
"10",-34.5,8.73710537,"Inr-DPE"
"11",-33.5,8.39324856,"Inr-DPE"
"12",-32.5,9.56548882,"Inr-DPE"
"13",-31.5,12.5039072,"Inr-DPE"
"14",-30.5,16.2238197,"Inr-DPE"
"15",-29.5,17.786808,"Inr-DPE"
"16",-28.5,16.7083454,"Inr-DPE"
"17",-27.5,14.3013449,"Inr-DPE"
"18",-26.5,11.7536736,"Inr-DPE"
"19",-25.5,10.7533607,"Inr-DPE"
"20",-24.5,10.3313532,"Inr-DPE"
"21",-23.5,10.1281652,"Inr-DPE"
"22",-22.5,11.1128483,"Inr-DPE"
"23",-21.5,12.0662708,"Inr-DPE"
"24",-20.5,12.9728031,"Inr-DPE"
"25",-19.5,12.4726477,"Inr-DPE"
"26",-18.5,13.7230377,"Inr-DPE"
"27",-17.5,15.020318,"Inr-DPE"
"28",-16.5,15.6455145,"Inr-DPE"
"29",-15.5,13.8793383,"Inr-DPE"
"30",-14.5,12.0975304,"Inr-DPE"
"31",-13.5,11.065958,"Inr-DPE"
"32",-12.5,11.1597376,"Inr-DPE"
"33",-11.5,12.7070961,"Inr-DPE"
"34",-10.5,15.0515776,"Inr-DPE"
"35",-9.5,15.5673656,"Inr-DPE"
"36",-8.5,14.2231941,"Inr-DPE"
"37",-7.5,10.1750546,"Inr-DPE"
"38",-6.5,8.44013786,"Inr-DPE"
"39",-5.5,7.08033752,"Inr-DPE"
"40",-4.5,9.221632,"Inr-DPE"
"41",-3.5,9.56548882,"Inr-DPE"
